Horticulture,Area,Year,Value,Flags
Total olives (hectares),Total South Island,As at June 30 2009,730,
Total olives (hectares),Total South Island,As at June 30 2011,661,
Total olives (hectares),Total South Island,As at June 30 2012,525,
Total olives (hectares),Total South Island,As at June 30 2014,458,
Total olives (hectares),Total South Island,As at June 30 2017,274,
Total olives (hectares),Total South Island,As at June 30 2019,184,
Total olives (hectares),Total South Island,As at June 30 2020,176,
Total onions (hectares),Total South Island,As at June 30 1994,1055,
Total onions (hectares),Total South Island,As at June 30 2002,1066,
Total onions (hectares),Total South Island,As at June 30 2003,1154,
Total onions (hectares),Total South Island,As at June 30 2005,800,
Total onions (hectares),Total South Island,As at June 30 2007,714,
Total onions (hectares),Total South Island,As at June 30 2009,702,
Total onions (hectares),Total South Island,As at June 30 2011,849,
Total onions (hectares),Total South Island,As at June 30 2012,1108,
Total onions (hectares),Total South Island,As at June 30 2014,792,
Total onions (hectares),Total South Island,As at June 30 2017,1109,
Total onions (hectares),Total South Island,As at June 30 2019,1543,
Total onions (hectares),Total South Island,As at June 30 2020,1266,
Total potatoes (hectares),Total South Island,As at June 30 1994,3360,
Total potatoes (hectares),Total South Island,As at June 30 2002,4910,
Total potatoes (hectares),Total South Island,As at June 30 2003,5188,
Total potatoes (hectares),Total South Island,As at June 30 2005,4834,
Total potatoes (hectares),Total South Island,As at June 30 2007,4574,
Total potatoes (hectares),Total South Island,As at June 30 2009,4693,
Total potatoes (hectares),Total South Island,As at June 30 2011,5727,
Total potatoes (hectares),Total South Island,As at June 30 2012,6136,
Total potatoes (hectares),Total South Island,As at June 30 2014,4497,
Total potatoes (hectares),Total South Island,As at June 30 2017,4678,
Total potatoes (hectares),Total South Island,As at June 30 2019,5666,
Total potatoes (hectares),Total South Island,As at June 30 2020,5543,
Total squash (hectares),Total South Island,As at June 30 1994,370,
Total squash (hectares),Total South Island,As at June 30 2002,26,
Total squash (hectares),Total South Island,As at June 30 2012,,c
Total squash (hectares),Total South Island,As at June 30 2014,,c
Total squash (hectares),Total South Island,As at June 30 2017,88,
Total squash (hectares),Total South Island,As at June 30 2019,42,
Total squash (hectares),Total South Island,As at June 30 2020,69,
Total apples (hectares),Tasman,As at June 30 2002,2979,
Total apples (hectares),Tasman,As at June 30 2003,3270,
Total apples (hectares),Tasman,As at June 30 2005,2902,
Total apples (hectares),Tasman,As at June 30 2007,2438,
Total apples (hectares),Tasman,As at June 30 2009,2382,
Total apples (hectares),Tasman,As at June 30 2011,2447,
Total apples (hectares),Tasman,As at June 30 2012,2496,
Total apples (hectares),Tasman,As at June 30 2014,2366,
Total apples (hectares),Tasman,As at June 30 2017,2400,
Total apples (hectares),Tasman,As at June 30 2019,2424,
Total apples (hectares),Tasman,As at June 30 2020,2204,
Total kiwifruit (hectares),Tasman,As at June 30 2002,579,
Total kiwifruit (hectares),Tasman,As at June 30 2003,633,
Total kiwifruit (hectares),Tasman,As at June 30 2005,695,
Total kiwifruit (hectares),Tasman,As at June 30 2007,614,
Total kiwifruit (hectares),Tasman,As at June 30 2009,635,
Total kiwifruit (hectares),Tasman,As at June 30 2011,542,
Total kiwifruit (hectares),Tasman,As at June 30 2012,497,
Total kiwifruit (hectares),Tasman,As at June 30 2014,433,
Total kiwifruit (hectares),Tasman,As at June 30 2017,440,
Total kiwifruit (hectares),Tasman,As at June 30 2019,454,
Total kiwifruit (hectares),Tasman,As at June 30 2020,412,
Total avocados (hectares),Tasman,As at June 30 2002,15,
Total avocados (hectares),Tasman,As at June 30 2003,9,
Total avocados (hectares),Tasman,As at June 30 2005,10,
Total avocados (hectares),Tasman,As at June 30 2007,9,
Total avocados (hectares),Tasman,As at June 30 2009,11,
Total avocados (hectares),Tasman,As at June 30 2012,7,
Total avocados (hectares),Tasman,As at June 30 2014,8,
Total avocados (hectares),Tasman,As at June 30 2017,8,
Total avocados (hectares),Tasman,As at June 30 2019,6,
Total avocados (hectares),Tasman,As at June 30 2020,2,
Total wine grapes (hectares),Tasman,As at June 30 2002,532,
Total wine grapes (hectares),Tasman,As at June 30 2003,612,
Total wine grapes (hectares),Tasman,As at June 30 2005,725,
Total wine grapes (hectares),Tasman,As at June 30 2007,805,
Total wine grapes (hectares),Tasman,As at June 30 2009,1120,
Total wine grapes (hectares),Tasman,As at June 30 2011,809,
Total wine grapes (hectares),Tasman,As at June 30 2012,821,
Total wine grapes (hectares),Tasman,As at June 30 2014,869,
Total wine grapes (hectares),Tasman,As at June 30 2017,980,
Total wine grapes (hectares),Tasman,As at June 30 2019,859,
Total wine grapes (hectares),Tasman,As at June 30 2020,847,
Total olives (hectares),Tasman,As at June 30 2002,168,
Total olives (hectares),Tasman,As at June 30 2003,150,
Total olives (hectares),Tasman,As at June 30 2005,122,
Total olives (hectares),Tasman,As at June 30 2007,148,
Total olives (hectares),Tasman,As at June 30 2009,139,
Total olives (hectares),Tasman,As at June 30 2011,134,
Total olives (hectares),Tasman,As at June 30 2012,129,
Total olives (hectares),Tasman,As at June 30 2014,107,
Total olives (hectares),Tasman,As at June 30 2017,72,
Total olives (hectares),Tasman,As at June 30 2019,53,
Total olives (hectares),Tasman,As at June 30 2020,49,
Total onions (hectares),Tasman,As at June 30 1994,52,
Total onions (hectares),Tasman,As at June 30 2002,37,
Total onions (hectares),Tasman,As at June 30 2003,23,
Total onions (hectares),Tasman,As at June 30 2005,15,
Total onions (hectares),Tasman,As at June 30 2007,26,
Total onions (hectares),Tasman,As at June 30 2009,30,
Total onions (hectares),Tasman,As at June 30 2012,55,
Total onions (hectares),Tasman,As at June 30 2014,36,
Total onions (hectares),Tasman,As at June 30 2017,46,
Total onions (hectares),Tasman,As at June 30 2019,78,
Total onions (hectares),Tasman,As at June 30 2020,57,
Total potatoes (hectares),Tasman,As at June 30 1994,84,
Total potatoes (hectares),Tasman,As at June 30 2002,44,
Total potatoes (hectares),Tasman,As at June 30 2003,49,
Total potatoes (hectares),Tasman,As at June 30 2007,39,
Total potatoes (hectares),Tasman,As at June 30 2011,7,
Total potatoes (hectares),Tasman,As at June 30 2012,13,
Total potatoes (hectares),Tasman,As at June 30 2014,10,
Total potatoes (hectares),Tasman,As at June 30 2017,9,
Total potatoes (hectares),Tasman,As at June 30 2019,7,
Total potatoes (hectares),Tasman,As at June 30 2020,4,
Total squash (hectares),Tasman,As at June 30 1994,7,
Total squash (hectares),Tasman,As at June 30 2002,4,
Total squash (hectares),Tasman,As at June 30 2009,11,
Total squash (hectares),Tasman,As at June 30 2012,14,
Total squash (hectares),Tasman,As at June 30 2014,14,
Total squash (hectares),Tasman,As at June 30 2017,1,
Total squash (hectares),Tasman,As at June 30 2019,18,
Total squash (hectares),Tasman,As at June 30 2020,13,
Total apples (hectares),Nelson,As at June 30 2005,89,
Total apples (hectares),Nelson,As at June 30 2011,86,
Total apples (hectares),Nelson,As at June 30 2012,,c
Total apples (hectares),Nelson,As at June 30 2014,0,
Total apples (hectares),Nelson,As at June 30 2017,0,
Total apples (hectares),Nelson,As at June 30 2019,,s
Total apples (hectares),Nelson,As at June 30 2020,5,
Total kiwifruit (hectares),Nelson,As at June 30 2012,,c
Total kiwifruit (hectares),Nelson,As at June 30 2014,,c
Total kiwifruit (hectares),Nelson,As at June 30 2017,,s
Total kiwifruit (hectares),Nelson,As at June 30 2019,,s
Total kiwifruit (hectares),Nelson,As at June 30 2020,,s
Total avocados (hectares),Nelson,As at June 30 2012,0,
Total avocados (hectares),Nelson,As at June 30 2014,0,
Total avocados (hectares),Nelson,As at June 30 2017,,s
Total avocados (hectares),Nelson,As at June 30 2019,2,
Total avocados (hectares),Nelson,As at June 30 2020,2,
Total wine grapes (hectares),Nelson,As at June 30 2002,33,
Total wine grapes (hectares),Nelson,As at June 30 2005,28,
Total wine grapes (hectares),Nelson,As at June 30 2012,,c
Total wine grapes (hectares),Nelson,As at June 30 2014,,c
Total wine grapes (hectares),Nelson,As at June 30 2017,24,
Total wine grapes (hectares),Nelson,As at June 30 2019,15,
Total wine grapes (hectares),Nelson,As at June 30 2020,42,
Total olives (hectares),Nelson,As at June 30 2012,0,
Total olives (hectares),Nelson,As at June 30 2014,0,
Total olives (hectares),Nelson,As at June 30 2017,0,
Total olives (hectares),Nelson,As at June 30 2019,,s
Total olives (hectares),Nelson,As at June 30 2020,0,
Total onions (hectares),Nelson,As at June 30 1994,1,
Total onions (hectares),Nelson,As at June 30 2012,,c
Total onions (hectares),Nelson,As at June 30 2014,,c
Total onions (hectares),Nelson,As at June 30 2017,,s
Total onions (hectares),Nelson,As at June 30 2019,0,
Total onions (hectares),Nelson,As at June 30 2020,0,
Total potatoes (hectares),Nelson,As at June 30 1994,9,
Total potatoes (hectares),Nelson,As at June 30 2012,,c
Total potatoes (hectares),Nelson,As at June 30 2014,0,
Total potatoes (hectares),Nelson,As at June 30 2017,0,
Total potatoes (hectares),Nelson,As at June 30 2019,0,
Total potatoes (hectares),Nelson,As at June 30 2020,0,
Total squash (hectares),Nelson,As at June 30 2012,,c
Total squash (hectares),Nelson,As at June 30 2014,,c
Total squash (hectares),Nelson,As at June 30 2017,0,
Total squash (hectares),Nelson,As at June 30 2019,0,
Total squash (hectares),Nelson,As at June 30 2020,0,
Total apples (hectares),Marlborough,As at June 30 2002,211,
Total apples (hectares),Marlborough,As at June 30 2003,229,
Total apples (hectares),Marlborough,As at June 30 2005,80,
Total apples (hectares),Marlborough,As at June 30 2007,25,
Total apples (hectares),Marlborough,As at June 30 2009,34,
Total apples (hectares),Marlborough,As at June 30 2012,18,
Total apples (hectares),Marlborough,As at June 30 2014,,c
Total apples (hectares),Marlborough,As at June 30 2017,21,
Total apples (hectares),Marlborough,As at June 30 2019,20,
Total apples (hectares),Marlborough,As at June 30 2020,18,
Total kiwifruit (hectares),Marlborough,As at June 30 2012,,c
Total kiwifruit (hectares),Marlborough,As at June 30 2014,,c
Total kiwifruit (hectares),Marlborough,As at June 30 2017,0,
Total kiwifruit (hectares),Marlborough,As at June 30 2019,,s
Total kiwifruit (hectares),Marlborough,As at June 30 2020,0,
Total avocados (hectares),Marlborough,As at June 30 2012,,c
Total avocados (hectares),Marlborough,As at June 30 2014,,c
Total avocados (hectares),Marlborough,As at June 30 2017,0,
Total avocados (hectares),Marlborough,As at June 30 2019,0,
Total avocados (hectares),Marlborough,As at June 30 2020,0,
Total wine grapes (hectares),Marlborough,As at June 30 2002,7521,
Total wine grapes (hectares),Marlborough,As at June 30 2003,9072,
Total wine grapes (hectares),Marlborough,As at June 30 2005,13442,
Total wine grapes (hectares),Marlborough,As at June 30 2007,17169,
Total wine grapes (hectares),Marlborough,As at June 30 2009,19577,
Total wine grapes (hectares),Marlborough,As at June 30 2011,21219,
Total wine grapes (hectares),Marlborough,As at June 30 2012,22627,
Total wine grapes (hectares),Marlborough,As at June 30 2014,21732,
Total wine grapes (hectares),Marlborough,As at June 30 2017,23051,
Total wine grapes (hectares),Marlborough,As at June 30 2019,26091,
Total wine grapes (hectares),Marlborough,As at June 30 2020,25463,
Total olives (hectares),Marlborough,As at June 30 2002,449,
Total olives (hectares),Marlborough,As at June 30 2003,391,
Total olives (hectares),Marlborough,As at June 30 2005,322,
Total olives (hectares),Marlborough,As at June 30 2007,240,
Total olives (hectares),Marlborough,As at June 30 2009,197,
Total olives (hectares),Marlborough,As at June 30 2011,150,
Total olives (hectares),Marlborough,As at June 30 2012,134,
Total olives (hectares),Marlborough,As at June 30 2014,129,
Total olives (hectares),Marlborough,As at June 30 2017,50,
Total olives (hectares),Marlborough,As at June 30 2019,38,
Total olives (hectares),Marlborough,As at June 30 2020,36,
Total onions (hectares),Marlborough,As at June 30 1994,37,
Total onions (hectares),Marlborough,As at June 30 2002,15,
Total onions (hectares),Marlborough,As at June 30 2003,16,
Total onions (hectares),Marlborough,As at June 30 2005,25,
Total onions (hectares),Marlborough,As at June 30 2012,,c
Total onions (hectares),Marlborough,As at June 30 2014,0,
Total onions (hectares),Marlborough,As at June 30 2017,33,
Total onions (hectares),Marlborough,As at June 30 2019,59,
Total onions (hectares),Marlborough,As at June 30 2020,44,
Total potatoes (hectares),Marlborough,As at June 30 1994,275,
Total potatoes (hectares),Marlborough,As at June 30 2011,5,
Total potatoes (hectares),Marlborough,As at June 30 2012,2,
Total potatoes (hectares),Marlborough,As at June 30 2014,,c
Total potatoes (hectares),Marlborough,As at June 30 2017,1,
Total potatoes (hectares),Marlborough,As at June 30 2019,1,
Total potatoes (hectares),Marlborough,As at June 30 2020,1,
Total squash (hectares),Marlborough,As at June 30 1994,153,
Total squash (hectares),Marlborough,As at June 30 2012,,c
Total squash (hectares),Marlborough,As at June 30 2014,0,
Total squash (hectares),Marlborough,As at June 30 2017,0,
Total squash (hectares),Marlborough,As at June 30 2019,0,
Total squash (hectares),Marlborough,As at June 30 2020,1,
Total apples (hectares),West Coast,As at June 30 2012,,c
Total apples (hectares),West Coast,As at June 30 2014,0,
Total apples (hectares),West Coast,As at June 30 2017,0,
Total apples (hectares),West Coast,As at June 30 2019,0,
Total apples (hectares),West Coast,As at June 30 2020,0,
Total kiwifruit (hectares),West Coast,As at June 30 2012,0,
Total kiwifruit (hectares),West Coast,As at June 30 2014,0,
Total kiwifruit (hectares),West Coast,As at June 30 2017,0,
Total kiwifruit (hectares),West Coast,As at June 30 2019,0,
Total kiwifruit (hectares),West Coast,As at June 30 2020,0,
Total avocados (hectares),West Coast,As at June 30 2012,0,
Total avocados (hectares),West Coast,As at June 30 2014,0,
Total avocados (hectares),West Coast,As at June 30 2017,0,
Total avocados (hectares),West Coast,As at June 30 2019,0,
Total avocados (hectares),West Coast,As at June 30 2020,0,
Total wine grapes (hectares),West Coast,As at June 30 2012,0,
Total wine grapes (hectares),West Coast,As at June 30 2014,0,
Total wine grapes (hectares),West Coast,As at June 30 2017,,s
Total wine grapes (hectares),West Coast,As at June 30 2019,,s
Total wine grapes (hectares),West Coast,As at June 30 2020,0,
Total olives (hectares),West Coast,As at June 30 2012,0,
Total olives (hectares),West Coast,As at June 30 2014,0,
Total olives (hectares),West Coast,As at June 30 2017,0,
Total olives (hectares),West Coast,As at June 30 2019,0,
Total olives (hectares),West Coast,As at June 30 2020,0,
Total onions (hectares),West Coast,As at June 30 2012,0,
Total onions (hectares),West Coast,As at June 30 2014,0,
Total onions (hectares),West Coast,As at June 30 2017,0,
Total onions (hectares),West Coast,As at June 30 2019,0,
Total onions (hectares),West Coast,As at June 30 2020,0,
Total potatoes (hectares),West Coast,As at June 30 2012,0,
Total potatoes (hectares),West Coast,As at June 30 2014,0,
Total potatoes (hectares),West Coast,As at June 30 2017,0,
Total potatoes (hectares),West Coast,As at June 30 2019,0,
Total potatoes (hectares),West Coast,As at June 30 2020,0,
Total squash (hectares),West Coast,As at June 30 2012,0,
Total squash (hectares),West Coast,As at June 30 2014,0,
Total squash (hectares),West Coast,As at June 30 2017,0,
Total squash (hectares),West Coast,As at June 30 2019,0,
Total squash (hectares),West Coast,As at June 30 2020,0,
Total apples (hectares),Canterbury,As at June 30 1994,1856,
Total apples (hectares),Canterbury,As at June 30 2002,343,
Total apples (hectares),Canterbury,As at June 30 2003,265,
Total apples (hectares),Canterbury,As at June 30 2005,210,
Total apples (hectares),Canterbury,As at June 30 2007,249,
Total apples (hectares),Canterbury,As at June 30 2009,180,
Total apples (hectares),Canterbury,As at June 30 2011,217,
Total apples (hectares),Canterbury,As at June 30 2012,226,
Total apples (hectares),Canterbury,As at June 30 2014,,c
Total apples (hectares),Canterbury,As at June 30 2017,312,
Total apples (hectares),Canterbury,As at June 30 2019,254,
Total apples (hectares),Canterbury,As at June 30 2020,241,
Total kiwifruit (hectares),Canterbury,As at June 30 2003,21,
Total kiwifruit (hectares),Canterbury,As at June 30 2012,,c
Total kiwifruit (hectares),Canterbury,As at June 30 2014,,s
Total kiwifruit (hectares),Canterbury,As at June 30 2017,,s
Total kiwifruit (hectares),Canterbury,As at June 30 2019,,s
Total kiwifruit (hectares),Canterbury,As at June 30 2020,,s
Total avocados (hectares),Canterbury,As at June 30 1994,11,
Total avocados (hectares),Canterbury,As at June 30 2012,,c
Total avocados (hectares),Canterbury,As at June 30 2014,,c
Total avocados (hectares),Canterbury,As at June 30 2017,,s
Total avocados (hectares),Canterbury,As at June 30 2019,,s
Total avocados (hectares),Canterbury,As at June 30 2020,32,
Total wine grapes (hectares),Canterbury,As at June 30 1994,319,
Total wine grapes (hectares),Canterbury,As at June 30 2002,749,
Total wine grapes (hectares),Canterbury,As at June 30 2005,1331,
Total wine grapes (hectares),Canterbury,As at June 30 2007,1683,
Total wine grapes (hectares),Canterbury,As at June 30 2009,1599,
Total wine grapes (hectares),Canterbury,As at June 30 2011,1817,
Total wine grapes (hectares),Canterbury,As at June 30 2012,1550,
Total wine grapes (hectares),Canterbury,As at June 30 2014,1415,
Total wine grapes (hectares),Canterbury,As at June 30 2017,1769,
Total wine grapes (hectares),Canterbury,As at June 30 2019,1449,
Total wine grapes (hectares),Canterbury,As at June 30 2020,1432,
Total olives (hectares),Canterbury,As at June 30 2002,659,
Total olives (hectares),Canterbury,As at June 30 2003,832,
Total olives (hectares),Canterbury,As at June 30 2005,514,
Total olives (hectares),Canterbury,As at June 30 2007,437,
Total olives (hectares),Canterbury,As at June 30 2011,340,
Total olives (hectares),Canterbury,As at June 30 2012,240,
Total olives (hectares),Canterbury,As at June 30 2014,196,
Total olives (hectares),Canterbury,As at June 30 2017,133,
Total olives (hectares),Canterbury,As at June 30 2019,75,
Total olives (hectares),Canterbury,As at June 30 2020,75,
Total onions (hectares),Canterbury,As at June 30 1994,671,
Total onions (hectares),Canterbury,As at June 30 2002,992,
Total onions (hectares),Canterbury,As at June 30 2003,1109,
Total onions (hectares),Canterbury,As at June 30 2005,759,
Total onions (hectares),Canterbury,As at June 30 2007,686,
Total onions (hectares),Canterbury,As at June 30 2009,672,
Total onions (hectares),Canterbury,As at June 30 2011,812,
Total onions (hectares),Canterbury,As at June 30 2012,1035,
Total onions (hectares),Canterbury,As at June 30 2014,715,
Total onions (hectares),Canterbury,As at June 30 2017,1001,
Total onions (hectares),Canterbury,As at June 30 2019,1405,
Total onions (hectares),Canterbury,As at June 30 2020,1165,
Total potatoes (hectares),Canterbury,As at June 30 1994,2517,
Total potatoes (hectares),Canterbury,As at June 30 2002,4495,
Total potatoes (hectares),Canterbury,As at June 30 2003,4792,
Total potatoes (hectares),Canterbury,As at June 30 2005,4562,
Total potatoes (hectares),Canterbury,As at June 30 2007,4273,
Total potatoes (hectares),Canterbury,As at June 30 2009,4336,
Total potatoes (hectares),Canterbury,As at June 30 2011,5197,
Total potatoes (hectares),Canterbury,As at June 30 2012,5754,
Total potatoes (hectares),Canterbury,As at June 30 2014,4253,
Total potatoes (hectares),Canterbury,As at June 30 2017,4332,
Total potatoes (hectares),Canterbury,As at June 30 2019,5380,
Total potatoes (hectares),Canterbury,As at June 30 2020,5255,
Total squash (hectares),Canterbury,As at June 30 1994,208,
Total squash (hectares),Canterbury,As at June 30 2002,22,
Total squash (hectares),Canterbury,As at June 30 2012,,c
Total squash (hectares),Canterbury,As at June 30 2014,,c
Total squash (hectares),Canterbury,As at June 30 2017,87,
Total squash (hectares),Canterbury,As at June 30 2019,25,
Total squash (hectares),Canterbury,As at June 30 2020,56,
Total apples (hectares),Otago,As at June 30 2002,802,
Total apples (hectares),Otago,As at June 30 2003,719,
Total apples (hectares),Otago,As at June 30 2005,622,
Total apples (hectares),Otago,As at June 30 2007,472,
Total apples (hectares),Otago,As at June 30 2009,572,
Total apples (hectares),Otago,As at June 30 2011,468,
Total apples (hectares),Otago,As at June 30 2012,459,
Total apples (hectares),Otago,As at June 30 2014,482,
Total apples (hectares),Otago,As at June 30 2017,427,
Total apples (hectares),Otago,As at June 30 2019,545,
Total apples (hectares),Otago,As at June 30 2020,457,
Total kiwifruit (hectares),Otago,As at June 30 2002,15,
Total kiwifruit (hectares),Otago,As at June 30 2003,10,
Total kiwifruit (hectares),Otago,As at June 30 2012,0,
Total kiwifruit (hectares),Otago,As at June 30 2014,,s
Total kiwifruit (hectares),Otago,As at June 30 2017,,s
Total kiwifruit (hectares),Otago,As at June 30 2019,0,
Total kiwifruit (hectares),Otago,As at June 30 2020,,s
Total avocados (hectares),Otago,As at June 30 2012,,c
Total avocados (hectares),Otago,As at June 30 2014,0,
Total avocados (hectares),Otago,As at June 30 2017,,s
Total avocados (hectares),Otago,As at June 30 2019,12,
Total avocados (hectares),Otago,As at June 30 2020,8,
Total wine grapes (hectares),Otago,As at June 30 2002,1051,
Total wine grapes (hectares),Otago,As at June 30 2003,1247,
Total wine grapes (hectares),Otago,As at June 30 2005,1380,
Total wine grapes (hectares),Otago,As at June 30 2007,1642,
Total wine grapes (hectares),Otago,As at June 30 2009,2018,
Total wine grapes (hectares),Otago,As at June 30 2011,1773,
Total wine grapes (hectares),Otago,As at June 30 2012,1577,
Total wine grapes (hectares),Otago,As at June 30 2014,1193,
Total wine grapes (hectares),Otago,As at June 30 2017,1173,
Total wine grapes (hectares),Otago,As at June 30 2019,1251,
Total wine grapes (hectares),Otago,As at June 30 2020,1211,
Total olives (hectares),Otago,As at June 30 2002,69,
Total olives (hectares),Otago,As at June 30 2003,32,
Total olives (hectares),Otago,As at June 30 2005,38,
Total olives (hectares),Otago,As at June 30 2007,44,
Total olives (hectares),Otago,As at June 30 2009,23,
Total olives (hectares),Otago,As at June 30 2012,22,
Total olives (hectares),Otago,As at June 30 2014,25,
Total olives (hectares),Otago,As at June 30 2017,19,
Total olives (hectares),Otago,As at June 30 2019,15,
Total olives (hectares),Otago,As at June 30 2020,16,
Total onions (hectares),Otago,As at June 30 1994,6,
Total onions (hectares),Otago,As at June 30 2012,4,
Total onions (hectares),Otago,As at June 30 2014,,c
Total onions (hectares),Otago,As at June 30 2017,0,
Total onions (hectares),Otago,As at June 30 2019,2,
Total onions (hectares),Otago,As at June 30 2020,0,
Total potatoes (hectares),Otago,As at June 30 1994,260,
Total potatoes (hectares),Otago,As at June 30 2002,185,
Total potatoes (hectares),Otago,As at June 30 2003,187,
Total potatoes (hectares),Otago,As at June 30 2005,72,
Total potatoes (hectares),Otago,As at June 30 2007,168,
Total potatoes (hectares),Otago,As at June 30 2009,139,
Total potatoes (hectares),Otago,As at June 30 2011,134,
Total potatoes (hectares),Otago,As at June 30 2012,153,
Total potatoes (hectares),Otago,As at June 30 2014,47,
Total potatoes (hectares),Otago,As at June 30 2017,196,
Total potatoes (hectares),Otago,As at June 30 2019,140,
Total potatoes (hectares),Otago,As at June 30 2020,150,
Total squash (hectares),Otago,As at June 30 1994,2,
Total squash (hectares),Otago,As at June 30 2012,,c
Total squash (hectares),Otago,As at June 30 2014,0,
Total squash (hectares),Otago,As at June 30 2017,0,
Total squash (hectares),Otago,As at June 30 2019,0,
Total squash (hectares),Otago,As at June 30 2020,0,
Total apples (hectares),Southland,As at June 30 2012,,c
Total apples (hectares),Southland,As at June 30 2014,0,
Total apples (hectares),Southland,As at June 30 2017,,s
Total apples (hectares),Southland,As at June 30 2019,,s
Total apples (hectares),Southland,As at June 30 2020,0,
Total kiwifruit (hectares),Southland,As at June 30 2012,0,
Total kiwifruit (hectares),Southland,As at June 30 2014,,c
Total kiwifruit (hectares),Southland,As at June 30 2017,,s
Total kiwifruit (hectares),Southland,As at June 30 2019,0,
Total kiwifruit (hectares),Southland,As at June 30 2020,,s
Total avocados (hectares),Southland,As at June 30 2012,0,
Total avocados (hectares),Southland,As at June 30 2014,0,
Total avocados (hectares),Southland,As at June 30 2017,,s
Total avocados (hectares),Southland,As at June 30 2019,0,
Total avocados (hectares),Southland,As at June 30 2020,,s
Total wine grapes (hectares),Southland,As at June 30 2012,,c
Total wine grapes (hectares),Southland,As at June 30 2014,,c
Total wine grapes (hectares),Southland,As at June 30 2017,,s
Total wine grapes (hectares),Southland,As at June 30 2019,,s
Total wine grapes (hectares),Southland,As at June 30 2020,,s
Total olives (hectares),Southland,As at June 30 2002,13,
Total olives (hectares),Southland,As at June 30 2012,0,
Total olives (hectares),Southland,As at June 30 2014,0,
Total olives (hectares),Southland,As at June 30 2017,0,
Total olives (hectares),Southland,As at June 30 2019,0,
Total olives (hectares),Southland,As at June 30 2020,0,
Total onions (hectares),Southland,As at June 30 1994,288,
Total onions (hectares),Southland,As at June 30 2012,,c
Total onions (hectares),Southland,As at June 30 2014,,c
Total onions (hectares),Southland,As at June 30 2017,0,
Total onions (hectares),Southland,As at June 30 2019,0,
Total onions (hectares),Southland,As at June 30 2020,0,
Total potatoes (hectares),Southland,As at June 30 1994,215,
Total potatoes (hectares),Southland,As at June 30 2002,170,
Total potatoes (hectares),Southland,As at June 30 2007,63,
Total potatoes (hectares),Southland,As at June 30 2012,210,
Total potatoes (hectares),Southland,As at June 30 2014,,c
Total potatoes (hectares),Southland,As at June 30 2017,140,
Total potatoes (hectares),Southland,As at June 30 2019,,s
Total potatoes (hectares),Southland,As at June 30 2020,133,
Total squash (hectares),Southland,As at June 30 2012,0,
Total squash (hectares),Southland,As at June 30 2014,0,
Total squash (hectares),Southland,As at June 30 2017,0,
Total squash (hectares),Southland,As at June 30 2019,0,
Total squash (hectares),Southland,As at June 30 2020,0,
Total apples (hectares),Chatham Islands,As at June 30 2012,0,
Total apples (hectares),Chatham Islands,As at June 30 2014,0,
Total apples (hectares),Chatham Islands,As at June 30 2017,0,
Total apples (hectares),Chatham Islands,As at June 30 2019,0,
Total apples (hectares),Chatham Islands,As at June 30 2020,0,
Total kiwifruit (hectares),Chatham Islands,As at June 30 2012,0,
Total kiwifruit (hectares),Chatham Islands,As at June 30 2014,0,
Total kiwifruit (hectares),Chatham Islands,As at June 30 2017,0,
Total kiwifruit (hectares),Chatham Islands,As at June 30 2019,0,
Total kiwifruit (hectares),Chatham Islands,As at June 30 2020,0,
Total avocados (hectares),Chatham Islands,As at June 30 2012,0,
Total avocados (hectares),Chatham Islands,As at June 30 2014,0,
Total avocados (hectares),Chatham Islands,As at June 30 2017,0,
Total avocados (hectares),Chatham Islands,As at June 30 2019,0,
Total avocados (hectares),Chatham Islands,As at June 30 2020,0,
Total wine grapes (hectares),Chatham Islands,As at June 30 2012,0,
Total wine grapes (hectares),Chatham Islands,As at June 30 2014,0,
Total wine grapes (hectares),Chatham Islands,As at June 30 2017,0,
Total wine grapes (hectares),Chatham Islands,As at June 30 2019,0,
Total wine grapes (hectares),Chatham Islands,As at June 30 2020,0,
Total olives (hectares),Chatham Islands,As at June 30 2012,0,
Total olives (hectares),Chatham Islands,As at June 30 2014,0,
Total olives (hectares),Chatham Islands,As at June 30 2017,0,
Total olives (hectares),Chatham Islands,As at June 30 2019,0,
Total olives (hectares),Chatham Islands,As at June 30 2020,0,
Total onions (hectares),Chatham Islands,As at June 30 2012,0,
Total onions (hectares),Chatham Islands,As at June 30 2014,0,
Total onions (hectares),Chatham Islands,As at June 30 2017,0,
Total onions (hectares),Chatham Islands,As at June 30 2019,0,
Total onions (hectares),Chatham Islands,As at June 30 2020,0,
Total potatoes (hectares),Chatham Islands,As at June 30 2012,,c
Total potatoes (hectares),Chatham Islands,As at June 30 2014,0,
Total potatoes (hectares),Chatham Islands,As at June 30 2017,0,
Total potatoes (hectares),Chatham Islands,As at June 30 2019,0,
Total potatoes (hectares),Chatham Islands,As at June 30 2020,0,
Total squash (hectares),Chatham Islands,As at June 30 2012,0,
Total squash (hectares),Chatham Islands,As at June 30 2014,0,
Total squash (hectares),Chatham Islands,As at June 30 2017,0,
Total squash (hectares),Chatham Islands,As at June 30 2019,0,
Total squash (hectares),Chatham Islands,As at June 30 2020,0,
